ItemNo,Customer name,mobile number,company name,Product name,Material,Length,Width,Height,Thickness,Inner diameter,Outer diameter,Start Date,End Date,Quantity
205,richard,6352417898,cleveland,lock washers,aluminum,96.46,48.73,19.36,0.078,13.14,17.5,19-08-2022,30-12-2022,1000
206,edward,7548124578,TVS locus,forgings,nickel,99.98,52.6,20.36,3.5,140.1,265.6,16-03-2022,19-09-2022,3500
207,colton,8965569856,omni ,metal nuts,silicon,99.1,48.34,21.4,4.3,1.5,3.4,15-04-2022,18-11-2022,4000
208,knox,7845987454,nixon,hydraulic cylinder,carbon steel,94,52.64,19.68,2.3,40.15,45.18,15-06-2022,18-12-2022,5000
209,caden,6985241242,tremec corporation,lock washers,aluminum,103.39,50.29,21.9,0.078,13.14,17.5,15-06-2022,18-12-2022,2500
210,nash,9874512456,borgwarner,forgings,nickel,102.19,49.57,19.19,3.5,140.1,265.6,17-07-2022,26-10-2022,3000
211,zane,7878787784,ashok leyland,oilseals,perbunan,99.57,51.09,20.48,10.15,3.5,5.8,15-04-2022,27-11-2022,6000
212,simon,8956231454, RSB,flywheel,chromium alloy,96.92,52.94,18.56,25.12,2.5,4.8,30-10-2022,25-12-2022,7500
213,joseph,7894561201,stotz,lock washers,aluminum,97.82,50.44,20.71,0.078,13.14,17.5,18-01-2022,23-10-2022,2000
214,david,7845128956,planodrives,forgings,nickel,97.27,52.03,20,3.5,140.1,265.6,17-04-2022,20-11-2022,4500
215,luke,9636968545,mesh,metal nuts,silicon,97.07,52.54,21.33,4.3,1.5,3.4,15-02-2022,26-12-2022,6000
216,julian,9545121425,hero,hydraulic cylinder,carbon steel,94.09,48.89,18.63,2.3,40.15,45.18,15-03-2022,28-11-2022,7000
217,hudson,9856235689,reshmi,molding washer,EPDM,98.7,52.57,20.04,5.5,17.13,20.5,18-06-2022,23-10-2022,1500
218,Ezra,7845568956,progeasive,couplings,stainless steel,99.42,48.71,19.94,3.18,4.5,7.5,17-12-2022,14-12-2022,2500
219,luca,6352417898,gear tec,metal fastener,alloy steel,95.9,49.08,19.46,6.4,80,120,19-09-2022,14-12-2022,3500
220,dylan,7548124578,cleveland,brake band,rolled steel,99.72,47.48,20.65,6.4,80,120,15-01-2022,15-12-2022,3500
221,linclon,8965569856,TVS locus,Valve Body,aluminum alloy,95.2,49.69,18.78,19.06,60.24,75.43,19-08-2022,30-12-2022,2000
222,thomas,7845987454,omni ,oil pan,carbon steel,101.27,48.46,20.68,2.3,40.15,45.18,16-03-2022,19-09-2022,4000
223,jaxon,6985241242,nixon,forgings,nickel,102.24,47.75,19.45,3.5,140.1,265.6,15-04-2022,18-11-2022,3500
224,nathan,9874512456,tremec corporation,metal nuts,silicon,95.31,52.09,19.93,4.3,1.5,3.4,15-06-2022,18-12-2022,4500
225,nolan,7878787784,borgwarner,oil pan,carbon steel,100.92,52.01,20.98,2.3,40.15,45.18,15-06-2022,18-12-2022,6500
226,eli,8956231454,ashok leyland,output shaft,carbon steel 50 C 12,96.07,52.25,20.29,40.15,20.15,40.25,17-07-2022,26-10-2022,7000
227,angel,7894561201, RSB,gear box,powdered metals,98.84,51.99,21.14,3.14,8.44,15.23,15-04-2022,27-11-2022,3500
228,cooper,7845128956,stotz,bearing,carbon steel,95.78,51.33,19.19,2.3,40.15,45.18,30-10-2022,25-12-2022,2555
229,archer,9636968545,planodrives,oilseals,perbunan,102.03,48,20.93,10.15,3.5,5.8,18-01-2022,23-10-2022,2000
230,atlas,9545121425,mesh,flywheel,chromium alloy,98.69,47.05,20.74,25.12,2.5,4.8,17-04-2022,20-11-2022,3500
231,jude,9856235689,hero,lock washers,aluminum,96.14,47.96,21.97,0.078,13.14,17.5,15-02-2022,26-12-2022,4500
232,ace,7845568956,reshmi,forgings,nickel,99.34,48.43,18.77,3.5,140.1,265.6,15-03-2022,28-11-2022,5000
233,tyler,6352417898,progeasive,metal nuts,silicon,102.81,51.4,18.9,4.3,1.5,3.4,18-06-2022,23-10-2022,1500
234,dean,7548124578,gear tec,hydraulic cylinder,carbon steel,97.97,48.91,19.18,50.9,6.5,17.16,17-12-2022,14-12-2022,2500
235,matteo,8965569856,cleveland,gear box,powdered metals,102.75,52.4,18.66,3.14,8.44,15.23,19-09-2022,14-12-2022,3500
236,juan,7845987454,TVS locus,bearing,carbon steel,100.25,47.87,19.01,50.9,6.5,17.16,15-01-2022,15-12-2022,1000
237,gavin,6985241242,omni ,oilseals,perbunan,103.28,49.15,18.57,10.15,3.5,5.8,19-08-2022,30-12-2022,3500
238,hayden,9874512456,nixon,flywheel,chromium alloy,94.42,50.85,20.91,25.12,2.5,4.8,16-03-2022,19-09-2022,4000
239,justin,7878787784,tremec corporation,lock washers,aluminum,96.41,48.91,21.24,0.078,13.14,17.5,15-04-2022,18-11-2022,5000
240,tucker,8956231454,borgwarner,forgings,nickel,100.79,52.39,21.66,3.5,140.1,265.6,15-06-2022,18-12-2022,2500
241,brandon,7894561201,ashok leyland,flywheel,chromium alloy,95.82,48.23,20.02,25.12,2.5,4.8,15-06-2022,18-12-2022,3000
242,kevin,7845128956, RSB,lock washers,aluminum,96.74,50.7,21.66,0.078,13.14,17.5,17-07-2022,26-10-2022,6000
243,xander,9636968545,stotz,forgings,nickel,103.68,51.96,20.19,3.5,140.1,265.6,15-04-2022,27-11-2022,7500
244,arlo,9545121425,planodrives,metal nuts,silicon,102.73,52.35,19.03,4.3,1.5,3.4,30-10-2022,25-12-2022,2000
245,Maya,9856235689,mesh,hydraulic cylinder,carbon steel,103.06,51.33,20.31,50.9,6.5,17.16,18-01-2022,23-10-2022,4500
246,Alice,7845568956,hero,molding washer,EPDM,95.83,48.45,20.91,5.5,17.13,20.5,17-04-2022,20-11-2022,6000
247,Mila,6352417898,reshmi,couplings,stainless steel,99.96,52.55,19.15,3.18,4.5,7.5,15-02-2022,26-12-2022,7000
248,Bonnie,7548124578,progeasive,metal fastener,alloy steel,100.84,48.86,20.35,12.4,3.7,9.5,15-03-2022,28-11-2022,1500
249,Eva,8965569856,gear tec,brake band,rolled steel,96.28,50.02,19.9,6.4,80,120,18-06-2022,23-10-2022,2500
250,Erin,7845987454,cleveland,Valve Body,aluminum alloy,97.09,51.34,21.38,25.12,2.5,4.8,17-12-2022,14-12-2022,3500
251,Zara,6985241242,TVS locus,oil pan,carbon steel,98.93,52.66,21.13,50.9,6.5,17.16,19-09-2022,14-12-2022,4000
252,Ellie,9874512456,omni ,output shaft,carbon steel 50 C 12,102.7,52.01,21.42,40.15,20.15,40.25,15-01-2022,15-12-2022,5000
253,Gracie,7878787784,nixon,couplings,stainless steel,98.19,49.37,18.58,3.18,4.5,7.5,19-08-2022,30-12-2022,2500
254,Lyra,8956231454,tremec corporation,metal fastener,alloy steel,97.05,48.22,20.47,12.4,3.7,9.5,16-03-2022,19-09-2022,3000
255,Amber,7894561201,borgwarner,brake band,rolled steel,94.76,49.77,19.28,6.4,80,120,15-04-2022,18-11-2022,6000
256,Hannah,7845128956,ashok leyland,Valve Body,aluminum alloy,99.96,47.8,19.06,25.12,2.5,4.8,15-06-2022,18-12-2022,7500
257,Clara,9636968545, RSB,metal nuts,silicon,94.07,52.74,19.44,4.3,1.5,3.4,15-06-2022,18-12-2022,2000
258,Holly,9545121425,stotz,hydraulic cylinder,carbon steel,95.77,47.24,21.86,50.9,6.5,17.16,17-07-2022,26-10-2022,4500
259,Lilly,9856235689,planodrives,molding washer,EPDM,97.63,52.96,21.08,5.5,17.13,20.5,15-04-2022,27-11-2022,6000
260,Noah,7845568956,mesh,couplings,stainless steel,95.22,48.81,20.66,3.18,4.5,7.5,30-10-2022,25-12-2022,7000
261,Oliver,6352417898,hero,metal fastener,alloy steel,97.85,49.65,19.04,12.4,3.7,9.5,18-01-2022,23-10-2022,1500
262,George,7548124578,reshmi,metal nuts,silicon,99.07,48.91,20.17,4.3,1.5,3.4,17-04-2022,20-11-2022,2500
263,Arthur,8965569856,progeasive,hydraulic cylinder,carbon steel,98.38,47.39,20.3,50.9,6.5,17.16,15-02-2022,26-12-2022,3500
264,Leo,7845987454,gear tec,molding washer,EPDM,94.29,50.49,21.48,5.5,17.13,20.5,15-03-2022,28-11-2022,4500
265,Harry,6985241242,cleveland,oil pan,carbon steel,95.86,50.08,20.12,50.9,6.5,17.16,18-06-2022,23-10-2022,5500
266,Oscar,9874512456,TVS locus,output shaft,carbon steel 50 C 12,99.69,50.98,21.57,40.15,20.15,40.25,17-12-2022,14-12-2022,6000
267,Archie,7878787784,omni ,flywheel,chromium alloy,100.59,47.46,19.7,25.12,2.5,4.8,19-09-2022,14-12-2022,5700
268,Henry,8956231454,nixon,lock washers,aluminum,103.02,52.04,20.43,0.078,13.14,17.5,15-01-2022,15-12-2022,2200
269,Freddie,7894561201,tremec corporation,forgings,nickel,101.31,52.53,21.53,3.5,140.1,265.6,19-08-2022,30-12-2022,3600
270,Jack,7845128956,borgwarner,metal nuts,silicon,98.86,47.46,18.64,4.3,1.5,3.4,16-03-2022,19-09-2022,4200
271,Charlie,9636968545,ashok leyland,hydraulic cylinder,carbon steel,103.54,47.85,20.01,50.9,6.5,17.16,15-04-2022,18-11-2022,5200
272,Theo,9545121425, RSB,lock washers,aluminum,99.46,51.89,19.77,0.078,13.14,17.5,15-06-2022,18-12-2022,2600
273,Alfie,9856235689,stotz,forgings,nickel,97.98,50.05,21.39,3.5,140.1,265.6,15-06-2022,18-12-2022,1000
274,finley,7845568956,planodrives,oilseals,perbunan,96.14,52.13,20.78,10.15,3.5,5.8,17-07-2022,26-10-2022,2500
275,William,6352417898,mesh,flywheel,chromium alloy,103.55,47.6,21.39,25.12,2.5,4.8,15-04-2022,27-11-2022,3000
276,Lucas,7548124578,hero,lock washers,aluminum,95.18,48.04,19.87,0.078,13.14,17.5,30-10-2022,25-12-2022,2500
277,Roman,8965569856,reshmi,forgings,nickel,98.77,49.23,21.15,3.5,140.1,265.6,18-01-2022,23-10-2022,1500
278,Tommy,7845987454,progeasive,gear box,powdered metals,99,50,18.54,3.14,8.44,15.23,17-04-2022,20-11-2022,3500
279,Isaac,6985241242,gear tec,bearing,carbon steel,99.95,51.93,19.75,50.9,6.5,17.16,15-02-2022,26-12-2022,2000
280,Teddy,9874512456,cleveland,oilseals,perbunan,100.4,48.97,21.65,10.15,3.5,5.8,15-03-2022,28-11-2022,4000
281,James,7878787784,TVS locus,flywheel,chromium alloy,99.72,49.44,19.97,25.12,2.5,4.8,18-06-2022,23-10-2022,3500
282,Joshua,8956231454,omni ,lock washers,aluminum,100.82,52.92,19.56,0.078,13.14,17.5,17-12-2022,14-12-2022,4500
283,Albie,7894561201,nixon,forgings,nickel,95.02,50.35,20.31,3.5,140.1,265.6,19-09-2022,14-12-2022,6500
284,Max,7845128956,tremec corporation,metal nuts,silicon,103,48.59,18.91,4.3,1.5,3.4,15-01-2022,15-12-2022,7000
285,Mohammed,9636968545,borgwarner,hydraulic cylinder,carbon steel,102.69,47.55,19.99,50.9,6.5,17.16,19-08-2022,30-12-2022,3500
286,Mason,9545121425,ashok leyland,gear box,powdered metals,97.04,51.01,20.69,3.14,8.44,15.23,16-03-2022,19-09-2022,2555
287,Rory,9856235689, RSB,bearing,carbon steel,99.13,50.81,19.51,50.9,6.5,17.16,15-04-2022,18-11-2022,2000
288,Jude,7845568956,stotz,oilseals,perbunan,98.08,50.29,21.91,10.15,3.5,5.8,15-06-2022,18-12-2022,3500
289,Louis,6352417898,planodrives,flywheel,chromium alloy,103.38,47.05,20.23,25.12,2.5,4.8,15-06-2022,18-12-2022,3500
290,Henry,7548124578,mesh,lock washers,aluminum,99.76,50.37,18.6,0.078,13.14,17.5,17-07-2022,26-10-2022,2000
291,jack,8965569856,hero,forgings,nickel,96.38,51.29,19.79,3.5,140.1,265.6,15-04-2022,27-11-2022,4000
292,levi,7845987454,reshmi,forgings,nickel,95.15,49.77,18.81,3.5,140.1,265.6,30-10-2022,25-12-2022,3500
293,alexander,6985241242,progeasive,metal nuts,silicon,103.74,50.23,19.03,4.3,1.5,3.4,18-01-2022,23-10-2022,4500
294,william,9874512456,gear tec,hydraulic cylinder,carbon steel,95.75,52.17,20.67,50.9,6.5,17.16,17-04-2022,20-11-2022,6500
295,noah,7878787784,cleveland,gear box,powdered metals,101.95,50.22,18.78,3.14,8.44,15.23,15-02-2022,26-12-2022,7000
296,liam,8956231454,TVS locus,bearing,carbon steel,103.46,51.16,20.79,50.9,6.5,17.16,15-03-2022,28-11-2022,3500
297,jackson,7894561201,omni ,oilseals,perbunan,94.81,47.79,18.99,10.15,3.5,5.8,18-06-2022,23-10-2022,2555
298,daniel,7845128956,nixon,flywheel,chromium alloy,101.85,49.87,20.97,25.12,2.5,4.8,17-12-2022,14-12-2022,2000
299,michael,9636968545,tremec corporation,lock washers,aluminum,101.93,48.31,21.54,0.078,13.14,17.5,19-09-2022,14-12-2022,3500
300,mason,9545121425,borgwarner,forgings,nickel,102.1,52.19,18.62,3.5,140.1,265.6,15-01-2022,15-12-2022,4500
301,logan,9856235689,ashok leyland,oilseals,perbunan,98.03,47.68,19.08,10.15,3.5,5.8,19-08-2022,30-12-2022,5000
302,johan,7845568956, RSB,flywheel,chromium alloy,98.36,51.88,21.84,25.12,2.5,4.8,16-03-2022,19-09-2022,1500
303,joseph,6352417898,stotz,lock washers,aluminum,101.53,47.35,20.63,0.078,13.14,17.5,15-04-2022,18-11-2022,2500
304,david,7548124578,planodrives,forgings,nickel,102.68,52.8,19.52,3.5,140.1,265.6,15-06-2022,18-12-2022,3500
305,luke,8965569856,mesh,metal nuts,silicon,94.1,50.48,21.02,4.3,1.5,3.4,15-06-2022,18-12-2022,1000
306,julian,7845987454,hero,hydraulic cylinder,carbon steel,103.6,51.61,20.48,50.9,6.5,17.16,17-07-2022,26-10-2022,3500
307,hudson,6985241242,reshmi,molding washer,EPDM,97.91,49.17,19.69,5.5,17.13,20.5,15-04-2022,27-11-2022,4500
308,Ezra,9874512456,progeasive,couplings,stainless steel,97.97,49.95,19.35,3.18,4.5,7.5,30-10-2022,25-12-2022,5000
309,luca,6985259856,gear tec,metal fastener,alloy steel,100.84,52.46,20.85,12.4,3.7,9.5,18-01-2022,23-10-2022,1500
310,dylan,6532568956,cleveland,forgings,nickel,102.06,52.35,19.09,3.5,140.1,265.6,17-04-2022,20-11-2022,2500
311,Erin,9658956231,TVS locus,gear box,powdered metals,96.17,49.11,21.93,3.14,8.44,15.23,15-02-2022,26-12-2022,3500
311,Erin,9658956231,TVS locus,gear ,powdered,96.17,49.11,21.93,3.14,8.44,15.23,15-02-2022,26-12-2022,3500
